Asset,Type,Source,Author,License,URL,Date Accessed,Purpose
kb_001 Giới thiệu Hát Xoan,text,"Hồ sơ UNESCO ICH về Hát Xoan — CẦN ĐỐI CHIẾU BẢN CHÍNH THỨC",PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,Nội dung Knowledge Base
kb_002 Đặc điểm Hát Xoan,text,"Tài liệu nghiên cứu — CHƯA XÁC MINH",PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,Nội dung Knowledge Base
kb_003 Lịch sử,text,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,Nội dung Knowledge Base
kb_010 Bài Xoan 1,text,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,Dữ liệu mẫu
song-1.svg,image,"Tự tạo trong repo (placeholder vector)",Prototype team,Internal,/placeholders/song-1.svg,2026-09-21,Thumbnail placeholder
song-2.svg,image,"Tự tạo trong repo (placeholder vector)",Prototype team,Internal,/placeholders/song-2.svg,2026-09-21,Thumbnail placeholder
song-3.svg,image,"Tự tạo trong repo (placeholder vector)",Prototype team,Internal,/placeholders/song-3.svg,2026-09-21,Thumbnail placeholder
hero.svg,image,"Tự tạo trong repo (placeholder vector)",Prototype team,Internal,/placeholders/hero.svg,2026-09-21,Hero background placeholder
AR_POSTER_001,ar_poster,AR team (Zapworks),PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,Image target AR
AR_VIDEO_001,ar_video,AR team (Zapworks),PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,Video AR
AR_VIDEO_002,ar_video,AR team (Zapworks),PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,Video AR
AR_VIDEO_003,ar_video,AR team (Zapworks),PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,Video AR
